           mu_1     mu_2     mu_3 loglihood
 [71,] 3.240909  0.8072945      0.192488       0.0002174512  
 [72,] 5.347238  0.07078429     0.7995162      0.1296995     
 [73,] 6.285877  0.006346824    0.4000411      0.5936121     
 [74,] 4.560848  0.267162       0.7146885      0.01814944    
 [75,] 8.25721   2.749327e-06   0.006410738    0.9935865     
 [76,] 4.190627  0.4215451      0.5723836      0.006071274   
 [77,] 1.980697  0.9768388      0.02315985     1.339906e-06  
 [78,] 5.152808  0.1028564      0.8136894      0.08345416    
 [79,] 7.312877  0.0001364699   0.05643275     0.9434308     
 [80,] 2.055753  0.9735156      0.02648259     1.8288e-06    
 [81,] 8.087469  5.581069e-06   0.009536198    0.9904582     
 [82,] 7.513644  6.013114e-05   0.03591679     0.9640231     
 [83,] 4.311575  0.3678567      0.6233493      0.008794062   
 [84,] 6.96754   0.000541317    0.1189163      0.8805424     
 [85,] 7.48849   6.666744e-05   0.03802795     0.9619054     
 [86,] 5.327439  0.07364145     0.8021651      0.1241934     
 [87,] 4.78762   0.191268       0.77513        0.03360198    
 [88,] 4.958846  0.1448133      0.8030559      0.05213073    
 [89,] 2.206904  0.9653594      0.03463717     3.416221e-06  
 [90,] 0.2721218 0.998964       0.001035965    1.066307e-09  
 [91,] 2.978504  0.8714315      0.1284903      7.817938e-05  
 [92,] 7.775461  2.041555e-05   0.01969819     0.9802814     
 [93,] 4.124442  0.4517285      0.5433411      0.004930412   
 [94,] 5.245753  0.08637967     0.8101655      0.1034548     
 [95,] 4.30036   0.3727308      0.6187675      0.008501601   
 [96,] 7.146909  0.0002663109   0.08125711     0.9184766     
 [97,] 6.129936  0.01030582     0.488185       0.5015092     
 [98,] 4.625449  0.2438916      0.7343898      0.02171862    
 [99,] 6.689393  0.001562031    0.2061684      0.7922695     
[100,] 7.209404  0.000207283    0.07091672     0.928876 
